dx,dy,mode
-63.1,-345.6,1
-176.1,-298.7,1
-266.9,-251.9,1
-245.5,-87.3,1
-140.9,44.1,1
64.9,163.8,1
296.5,258.2,1
539.4,261.5,1
640.5,165.1,1
527.8,62.5,1
300.1,-34.1,1
16.7,-85.1,1
-352.3,-158.8,1
-798.8,-207.6,1
0.0,0.0,1
0.0,0.0,1
-522.0,10.2,1
-332.0,180.8,1
-141.3,267.9,1
227.1,375.2,1
530.9,355.1,1
219.2,149.2,1
2.2,-52.0,1
-192.8,-250.0,1
0.0,0.0,1
0.0,0.0,1
-361.6,-350.2,1
-315.6,-316.3,1
-210.2,-245.3,1
-2.0,-99.3,1
236.5,68.9,1
390.5,183.2,1
444.2,318.5,1
292.7,331.1,1
84.2,275.6,1
-217.0,176.9,1
-511.0,72.2,1
-733.6,-123.3,1
-620.4,-182.6,1
-307.9,-189.6,1
-63.2,-179.6,1
154.5,-139.8,1
553.2,-92.6,1
0.0,0.0,1
691.8,11.3,1
510.0,26.2,1
285.4,69.6,1
8.6,43.0,1
